이름,출시일,종족,성격,역할,공격방식,배치,사복(개수)
네티,2025년 2분기,용족,광기,탱커,물리,전열,2
리코타,2025년 2분기,요정,냉정,탱커,물리,전열,2
마요,2023년 출시 당시,요정,순수,딜러,물리,중열,2
오르,2025년 2분기,엘프,우울,서포터,마법,후열,1
디아나,2023년 출시 당시,수인,냉정,딜러,물리,전열,2
아르코,2025년 3분기,정령,활발,딜러,물리,중열,2
캐시,2025년 3분기,엘프,순수,딜러,물리,후열,1
아네트,2025년 3분기,용족,광기,서포터,마법,중열,1
로네/시장,2023년 출시 당시,엘프,우울,딜러,물리,중열,2
마카샤,2025년 3분기,마녀,활발,서포터,마법,중열,2
시저,2025년 3분기,정령,냉정,서포터,마법,중열,1
뮤트,2025년 3분기,정령,순수,서포터,마법,후열,2
우로스,2025년 3분기,수인,공명,서포터,물리,후열,3
티그/영웅,2023년 1분기,수인,광기,딜러,물리,모든열,0
미로,2025년 4분기,정령,활발,탱커,물리,전열,2
아사나,2025년 4분기,마녀,우울,탱커,물리,전열,1
베니,2023년 출시 당시,수인,냉정,딜러,물리,후열,2
하이디,2025년 4분기,엘프,광기,딜러,물리,후열,1
아일라,2025년 4분기,정령,순수,서포터,마법,중열,2
요미,2026년 1분기,미스틱,우울,딜러,마법,중열,2
셰이디/역전,2023년 출시 당시,유령,활발,서포터,물리,후열,1
다야/퓨어샤인,2023년 출시 당시,용족,광기,서포터,마법,중열,1
잉클,2026년 1분기,정령,냉정,딜러,마법,후열,1
아멜리아,2023년 출시 당시,엘프,우울,서포터,마법,후열,1
델리아,2026년 1분기,수인,순수,딜러,물리,전열,1
네르/빡침,2023년 출시 당시,요정,활발,딜러,물리,후열,2
에르핀/왕도,2023년 출시 당시,요정,순수,딜러,마법,중열,2
헤일리,2024년 3분기,엘프,광기,탱커,물리,전열,1
아라그니아,2026년 2분기,용족,냉정,서포터,마법,중열,1
레비,2023년 출시 당시,마녀,활발,탱커,물리,전열,1
이드,2023년 출시 당시,엘프,순수,탱커,마법,전열,1
키샤,2026년 2분기,유령,우울,서포터,마법,중열,1
실비아,2026년 2분기,용족,광기,탱커,마법,전열,2
